rank,finalWorth,category,personName,country,city,source,industries,countryOfCitizenship,selfMade,status,gender,birthDate,lastName,firstName,date,cpi_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country,Age as of 1 Jan 2023
511,5200,Food & Beverage,"Robert Rich, Jr.",United States,"Washington, D.C.",Frozen foods,Food & Beverage,United States,False,U,M,1941-01-25 00:00:00,Rich,Robert,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,82
511,5200,Gambling & Casinos,Mark Scheinberg,United Kingdom,Ottawa,Online gambling,Gambling & Casinos,Canada,True,D,M,1973-12-27 00:00:00,Scheinberg,Mark,4/4/2023 5:01,119.62,3070670000000.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973,50
511,5200,Technology,Charles Simonyi,United States,"Washington, D.C.",Microsoft,Technology,United States,True,D,M,1948-09-10 00:00:00,Simonyi,Charles,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,75
511,5200,Real Estate,Ty Warner,United States,"Washington, D.C.","Plush toys, real estate",Real Estate,United States,True,U,M,1944-09-03 00:00:00,Warner,Ty,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,79
511,5200,Real Estate,Sam Zell,United States,"Washington, D.C.","Real estate, private equity",Real Estate,United States,True,D,M,1941-09-28 00:00:00,Zell,Sam,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,82
523,5100,Manufacturing,Fang Wei,China,Beijing,Steel,Manufacturing,China,True,U,M,1973-09-04 00:00:00,Fang,Wei,4/4/2023 5:01,125.08,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,50
523,5100,Finance & Investments,Rekha Jhunjhunwala,India,New Delhi,Investments,Finance & Investments,India,False,N,F,1963-09-12 00:00:00,Jhunjhunwala,Rekha,4/4/2023 5:01,180.44,3385090000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,60
523,5100,Finance & Investments,Charles B. Johnson,United States,"Washington, D.C.",Franklin Templeton,Finance & Investments,United States,False,E,M,1933-01-06 00:00:00,Johnson,Charles B.,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,90
523,5100,Media & Entertainment,Kwon Hyuk-bin,South Korea,Seoul,Online games,Media & Entertainment,South Korea,True,D,M,1974-01-01 00:00:00,Kwon,Hyuk-bin,4/4/2023 5:01,115.16,1665250000000.0,94.3,98.1,82.6,15.6,33.2,51709098.0,35.907757,127.766922,49
523,5100,Finance & Investments,Sami Mnaymneh,United States,"Washington, D.C.",Private equity,Finance & Investments,United States,True,U,M,1961-07-13 00:00:00,Mnaymneh,Sami,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,62
523,5100,Logistics,Kjell Inge Rokke,Norway,Oslo,"Shipping, seafood",Logistics,Norway,True,D,M,1958-10-25 00:00:00,Rokke,Kjell Inge,4/4/2023 5:01,120.27,403336363636.0,82.0,100.3,82.8,23.9,36.2,5347896.0,60.472024,8.468946,65
523,5100,Finance & Investments,Tony Tamer,United States,"Washington, D.C.",Private equity,Finance & Investments,United States,True,U,M,1957-10-12 00:00:00,Tamer,Tony,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,66
523,5100,Healthcare,Tse Ping & family,Hong Kong,Beijing,Pharmaceuticals,Healthcare,China,True,D,M,1952-01-03 00:00:00,Tse,Ping,4/4/2023 5:01,105.3,385546000000.0,84.39,84.39,85.83,20.0,0.0,7491609.0,22.396428,114.109497,71
523,5100,Technology,Romesh T. Wadhwani,United States,"Washington, D.C.",Software,Technology,United States,True,U,M,1947-08-25 00:00:00,Wadhwani,Romesh T.,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,76
523,5100,Healthcare,Hansjoerg Wyss,United States,Bern,Medical devices,Healthcare,Switzerland,True,U,M,1935-01-01 00:00:00,Wyss,Hansjoerg,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,88
523,5100,Sports,Denise York & family,United States,"Washington, D.C.",San Francisco 49ers,Sports,United States,False,U,F,1950-10-21 00:00:00,York,Denise,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,73
534,5000,Finance & Investments,Ron Baron,United States,"Washington, D.C.",Money management,Finance & Investments,United States,True,U,M,1943-05-23 00:00:00,Baron,Ron,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,80
534,5000,Energy,Robert Bass,United States,"Washington, D.C.","Oil, investments",Energy,United States,False,D,M,1948-03-19 00:00:00,Bass,Robert,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,75
534,5000,Healthcare,Dona Bertarelli,Switzerland,Bern,Biotech and investments,Healthcare,Switzerland,False,U,F,1968-01-01 00:00:00,Bertarelli,Dona,4/4/2023 5:01,99.55,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512,55
534,5000,Finance & Investments,Alexander Gerko,United Kingdom,London,Trading,Finance & Investments,United Kingdom,True,N,M,1979-12-03 00:00:00,Gerko,Alexander,4/4/2023 5:01,119.62,3070670000000.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973,44
534,5000,Technology,Martin Haefner,Switzerland,Bern,"Software, investments",Technology,Switzerland,False,U,M,1954-01-01 00:00:00,Haefner,Martin,4/4/2023 5:01,99.55,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512,69
534,5000,Telecom,"Robert Hale, Jr.",United States,"Washington, D.C.",Telecom,Telecom,United States,True,U,M,1966-07-08 00:00:00,Hale,Robert,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,57
534,5000,Healthcare,Viktor Kharitonin,Russia,Moscow,Pharmaceuticals,Healthcare,Russia,True,U,M,1972-11-20 00:00:00,Kharitonin,Viktor,4/4/2023 5:01,180.75,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756,51
534,5000,Technology,Kim Beom-su,South Korea,Seoul,Online services,Technology,South Korea,True,D,M,1966-03-27 00:00:00,Kim,Beom-su,4/4/2023 5:01,115.16,1665250000000.0,94.3,98.1,82.6,15.6,33.2,51709098.0,35.907757,127.766922,57
534,5000,Fashion & Retail,Jane Lauder,United States,"Washington, D.C.",Estée Lauder,Fashion & Retail,United States,False,D,F,1973-01-01 00:00:00,Lauder,Jane,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,50
534,5000,Fashion & Retail,Michel Leclercq & family,France,Paris,Sporting goods,Fashion & Retail,France,False,U,M,1939-05-27 00:00:00,Leclercq,Michel,4/4/2023 5:01,110.05,2782910000000.0,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749,84
534,5000,Media & Entertainment,George Lucas,United States,"Washington, D.C.",Star Wars,Media & Entertainment,United States,True,D,M,1944-05-14 00:00:00,Lucas,George,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,79
534,5000,Sports,Janice McNair,United States,"Washington, D.C.","Energy, sports",Sports,United States,False,U,F,1936-09-30 00:00:00,McNair,Janice,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,87
534,5000,Healthcare,Ugur Sahin,Germany,Berlin,Biotechnology,Healthcare,Germany,True,D,M,1965-09-19 00:00:00,Sahin,Ugur,4/4/2023 5:01,112.85,4072190000000.0,70.2,70.2,80.9,11.5,48.8,83132799.0,51.165691,10.451526,58
534,5000,Real Estate,Alexandra Schoerghuber & family,Germany,Berlin,Real estate,Real Estate,Germany,False,U,F,1958-07-24 00:00:00,Schoerghuber,Alexandra,4/4/2023 5:01,112.85,4072190000000.0,70.2,70.2,80.9,11.5,48.8,83132799.0,51.165691,10.451526,65
534,5000,Healthcare,Thomas Straumann,Switzerland,Bern,Dental implants,Healthcare,Switzerland,False,D,M,1963-07-22 00:00:00,Straumann,Thomas,4/4/2023 5:01,99.55,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512,60
534,5000,Food & Beverage,Murat Ulker,Turkey,Ankara,Food,Food & Beverage,Turkey,False,U,M,1959-03-23 00:00:00,Ulker,Murat,4/4/2023 5:01,234.44,754411708203.0,23.9,93.2,77.4,17.9,42.3,83429615.0,38.963745,35.243322,64
534,5000,Fashion & Retail,Chip Wilson,Canada,Ottawa,Lululemon,Fashion & Retail,Canada,True,D,M,1957-01-01 00:00:00,Wilson,Chip,4/4/2023 5:01,116.76,1736425629520.0,68.9,100.9,81.9,12.8,24.5,36991981.0,56.130366,-106.346771,66
534,5000,Real Estate,Zhu Yan & family,China,Beijing,Real estate,Real Estate,China,False,U,F,1993-11-07 00:00:00,Zhu,Yan,4/4/2023 5:01,125.08,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,30
552,4900,Manufacturing,Jim Davis & family,United States,"Washington, D.C.",New Balance,Manufacturing,United States,True,D,M,1943-05-17 00:00:00,Davis,Jim,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,80
552,4900,Healthcare,Murali Divi & family,India,New Delhi,Pharmaceuticals,Healthcare,India,True,D,M,1951-03-17 00:00:00,Divi,Murali,4/4/2023 5:01,180.44,3385090000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,72
552,4900,Technology,Dagmar Dolby & family,United States,"Washington, D.C.",Dolby Laboratories,Technology,United States,False,U,F,1941-06-28 00:00:00,Dolby,Dagmar,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,82
552,4900,Technology,Marcos Galperin,Argentina,Buenos Aires,E-commerce,Technology,Argentina,True,U,M,1971-10-31 00:00:00,Galperin,Marcos,4/4/2023 5:01,232.75,449663446954.0,90.0,109.7,76.5,10.1,106.3,44938712.0,-38.416097,-63.616672,52
552,4900,Service,Tom Golisano,United States,"Washington, D.C.",Payroll services,Service,United States,True,D,M,1941-11-14 00:00:00,Golisano,Tom,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,82
552,4900,Finance & Investments,Jonathan Gray,United States,"Washington, D.C.",Investments,Finance & Investments,United States,True,D,M,1970-02-04 00:00:00,Gray,Jonathan,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,53
552,4900,Finance & Investments,Bidzina Ivanishvili,Georgia,Tbilisi,Investments,Finance & Investments,Georgia,True,U,M,1956-02-18 00:00:00,Ivanishvili,Bidzina,4/4/2023 5:01,133.61,17743195770.0,63.9,98.6,73.6,21.7,9.9,3720382.0,42.315407,43.356892,67
552,4900,Metals & Mining,Lim Hariyanto Wijaya Sarwono,Indonesia,Jakarta,"Palm oil, nickel mining",Metals & Mining,Indonesia,True,U,M,1928-11-01 00:00:00,Lim,Hariyanto Wijaya Sarwono,4/4/2023 5:01,151.18,1119190780753.0,36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327,95
552,4900,Healthcare,Rudolf Maag,Switzerland,Bern,Medical devices,Healthcare,Switzerland,True,D,M,1946-01-31 00:00:00,Maag,Rudolf,4/4/2023 5:01,99.55,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512,77
552,4900,Food & Beverage,Emanuele (Lino) Saputo & family,Canada,Ottawa,Cheese,Food & Beverage,Canada,False,U,M,1937-01-01 00:00:00,Saputo,Emanuele (Lino),4/4/2023 5:01,116.76,1736425629520.0,68.9,100.9,81.9,12.8,24.5,36991981.0,56.130366,-106.346771,86
552,4900,Automotive,Mark Shoen,United States,"Washington, D.C.",U-Haul,Automotive,United States,False,U,M,1950-11-20 00:00:00,Shoen,Mark,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,73
552,4900,Sports,Dan Snyder,United States,"Washington, D.C.",Washington Commanders,Sports,United States,True,U,M,1964-11-23 00:00:00,Snyder,Dan,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,59
552,4900,Diversified,Chairul Tanjung,Indonesia,Jakarta,Diversified,Diversified,Indonesia,True,D,M,1962-06-18 00:00:00,Tanjung,Chairul,4/4/2023 5:01,151.18,1119190780753.0,36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327,61
552,4900,Energy,Kelcy Warren,United States,"Washington, D.C.",Pipelines,Energy,United States,True,U,M,1955-11-09 00:00:00,Warren,Kelcy,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,68
552,4900,Fashion & Retail,Zhang Tao,China,Beijing,E-commerce,Fashion & Retail,China,True,D,M,1972-11-01 00:00:00,Zhang,Tao,4/4/2023 5:01,125.08,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,51
567,4800,Fashion & Retail,Michael Ashley,United Kingdom,London,Sports retailing,Fashion & Retail,United Kingdom,True,U,M,1964-09-12 00:00:00,Ashley,Michael,4/4/2023 5:01,119.62,3070670000000.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973,59
567,4800,Fashion & Retail,Tomasz Biernacki,Poland,Warsaw,Supermarkets,Fashion & Retail,Poland,True,U,M,1973-01-01 00:00:00,Biernacki,Tomasz,4/4/2023 5:01,114.11,592164400688.0,67.8,100.0,77.6,17.4,40.8,37970874.0,51.919438,19.145136,50
567,4800,Healthcare,Bernard Broermann,Germany,Berlin,Hospitals,Healthcare,Germany,True,U,M,1943-11-22 00:00:00,Broermann,Bernard,4/4/2023 5:01,112.85,4072190000000.0,70.2,70.2,80.9,11.5,48.8,83132799.0,51.165691,10.451526,80
567,4800,Fashion & Retail,Jimmy Haslam,United States,"Washington, D.C.","Gas stations, retail",Fashion & Retail,United States,False,U,M,1954-03-09 00:00:00,Haslam,Jimmy,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,69
567,4800,Manufacturing,H. Fisk Johnson,United States,"Washington, D.C.",Cleaning products,Manufacturing,United States,False,U,M,1958-05-19 00:00:00,Johnson,H. Fisk,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,65
567,4800,Manufacturing,S. Curtis Johnson,United States,"Washington, D.C.",Cleaning products,Manufacturing,United States,False,U,M,1955-05-05 00:00:00,Johnson,S. Curtis,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,68
567,4800,Manufacturing,Helen Johnson-Leipold,United States,"Washington, D.C.",Cleaning products,Manufacturing,United States,False,U,F,1956-12-30 00:00:00,Johnson-Leipold,Helen,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,67
567,4800,Technology,Vinod Khosla,United States,"Washington, D.C.",Venture capital,Technology,United States,True,D,M,1955-01-28 00:00:00,Khosla,Vinod,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,68
567,4800,Technology,Thai Lee,United States,"Washington, D.C.",IT provider,Technology,United States,True,U,F,1958-11-27 00:00:00,Lee,Thai,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,65
567,4800,Manufacturing,Winifred J. Marquart,United States,"Washington, D.C.",Cleaning products,Manufacturing,United States,False,U,F,1959-04-06 00:00:00,Marquart,Winifred J.,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,64
567,4800,Healthcare,Pankaj Patel,India,New Delhi,Pharmaceuticals,Healthcare,India,False,U,M,1953-03-19 00:00:00,Patel,Pankaj,4/4/2023 5:01,180.44,3385090000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,70
567,4800,Manufacturing,Horst Julius Pudwill,Hong Kong,Berlin,Manufacturing,Manufacturing,Germany,True,D,M,1944-10-23 00:00:00,Pudwill,Horst Julius,4/4/2023 5:01,105.3,385546000000.0,84.39,84.39,85.83,20.0,0.0,7491609.0,22.396428,114.109497,79
567,4800,Finance & Investments,Yu Yong,China,Beijing,Mining,Finance & Investments,China,True,U,M,1961-02-01 00:00:00,Yu,Yong,4/4/2023 5:01,125.08,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,62
580,4700,Diversified,Maria Fernanda Amorim & family,Portugal,Lisbon,"Energy, investments",Diversified,Portugal,False,E,F,1935-01-16 00:00:00,Amorim,Maria Fernanda,4/4/2023 5:01,110.62,237686075635.0,63.9,106.2,81.3,22.8,39.8,10269417.0,39.399872,-8.224454,88
580,4700,Sports,Gayle Benson,United States,"Washington, D.C.",New Orleans Saints,Sports,United States,False,U,F,1947-01-26 00:00:00,Benson,Gayle,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,76
580,4700,Technology,Jason Chang,Taiwan,Singapore,Electronics,Technology,Singapore,True,U,M,1944-05-01 00:00:00,Chang,Jason,4/4/2023 5:01,106.01,751930000000.0,0.0,100.0,81.16,20.0,5.0,23923276.0,23.69781,120.960515,79
580,4700,Manufacturing,Ali Erdemoglu,Turkey,Ankara,Carpet,Manufacturing,Turkey,True,U,M,1959-11-20 00:00:00,Erdemoglu,Ali,4/4/2023 5:01,234.44,754411708203.0,23.9,93.2,77.4,17.9,42.3,83429615.0,38.963745,35.243322,64
580,4700,Finance & Investments,Andre Esteves,Brazil,Brasília,Banking,Finance & Investments,Brazil,True,D,M,1968-07-12 00:00:00,Esteves,Andre,4/4/2023 5:01,167.4,1839758040766.0,51.3,115.4,75.7,14.2,65.1,212559417.0,-14.235004,-51.92528,55
580,4700,Real Estate,Carlo Fidani,Canada,Ottawa,Real estate,Real Estate,Canada,False,U,M,1955-01-01 00:00:00,Fidani,Carlo,4/4/2023 5:01,116.76,1736425629520.0,68.9,100.9,81.9,12.8,24.5,36991981.0,56.130366,-106.346771,68
580,4700,Technology,Hong Ra-hee,South Korea,Seoul,Samsung,Technology,South Korea,False,D,F,1945-07-15 00:00:00,Hong,Ra-hee,4/4/2023 5:01,115.16,1665250000000.0,94.3,98.1,82.6,15.6,33.2,51709098.0,35.907757,127.766922,78
580,4700,Manufacturing,Li Gaiteng,China,Beijing,Hair dryers,Manufacturing,China,True,U,M,1972-04-08 00:00:00,Li,Gaiteng,4/4/2023 5:01,125.08,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,51
580,4700,Media & Entertainment,Thomas Secunda,United States,"Washington, D.C.",Bloomberg LP,Media & Entertainment,United States,True,U,M,1954-06-23 00:00:00,Secunda,Thomas,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,69
580,4700,Diversified,Zuowen Song,China,Beijing,"Aluminum, diversified",Diversified,China,True,U,M,1947-03-19 00:00:00,Song,Zuowen,4/4/2023 5:01,125.08,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,76
580,4700,Media & Entertainment,Tim Sweeney,United States,"Washington, D.C.",Video games,Media & Entertainment,United States,True,D,M,1970-12-13 00:00:00,Sweeney,Tim,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,53
591,4600,Food & Beverage,Bert Beveridge,United States,"Washington, D.C.",Vodka,Food & Beverage,United States,True,U,M,1962-01-01 00:00:00,Beveridge,Bert,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,61
591,4600,Media & Entertainment,Mark Cuban,United States,"Washington, D.C.","Online media, Dallas Mavericks",Media & Entertainment,United States,True,D,M,1958-07-31 00:00:00,Cuban,Mark,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,65
591,4600,Media & Entertainment,Charles Dolan & family,United States,"Washington, D.C.",Cable television,Media & Entertainment,United States,True,D,M,1926-10-16 00:00:00,Dolan,Charles,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,97
591,4600,Technology,Jack Dorsey,United States,"Washington, D.C.","Twitter, Square",Technology,United States,True,D,M,1976-11-19 00:00:00,Dorsey,Jack,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,47
591,4600,Energy,Fan Hongwei,China,Beijing,Petrochemicals,Energy,China,True,D,F,1967-01-01 00:00:00,Fan,Hongwei,4/4/2023 5:01,125.08,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,56
591,4600,Metals & Mining,Vladimir Kim,Kazakhstan,Nur-Sultan,Mining,Metals & Mining,Kazakhstan,True,D,M,1960-10-29 00:00:00,Kim,Vladimir,4/4/2023 5:01,182.75,180161741180.0,61.7,104.4,73.2,11.7,28.4,18513930.0,48.019573,66.923684,63
591,4600,Finance & Investments,"Andre Koo, Sr.",Taiwan,Taipei,Financial services,Finance & Investments,Taiwan,False,D,M,1967-05-25 00:00:00,Koo,Andre,4/4/2023 5:01,106.01,751930000000.0,0.0,100.0,81.16,20.0,5.0,23923276.0,23.69781,120.960515,56
591,4600,Fashion & Retail,Ronald Lauder,United States,"Washington, D.C.",Estee Lauder,Fashion & Retail,United States,False,D,M,1944-02-26 00:00:00,Lauder,Ronald,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,79
591,4600,Manufacturing,Li Chunan,China,Beijing,Renewable energy,Manufacturing,China,True,D,M,1968-10-10 00:00:00,Li,Chunan,4/4/2023 5:01,125.08,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,55
591,4600,Media & Entertainment,Forrest Li,Singapore,Singapore,Gaming,Media & Entertainment,Singapore,True,D,M,1978-01-01 00:00:00,Li,Forrest,4/4/2023 5:01,114.41,372062527489.0,84.8,100.6,83.1,13.1,21.0,5703569.0,1.352083,103.819836,45
591,4600,Telecom,Richard Li,Hong Kong,Hong Kong,Telecom,Telecom,Hong Kong,False,D,M,1966-11-08 00:00:00,Li,Richard,4/4/2023 5:01,105.3,385546000000.0,84.39,84.39,85.83,20.0,0.0,7491609.0,22.396428,114.109497,57
591,4600,Fashion & Retail,Doug Meijer & family,United States,"Washington, D.C.",Supermarkets,Fashion & Retail,United States,False,Split Family Fortune,M,1954-01-22 00:00:00,Meijer,Doug,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,69
591,4600,Fashion & Retail,Hank Meijer & family,United States,"Washington, D.C.",Supermarkets,Fashion & Retail,United States,False,Split Family Fortune,M,1952-02-15 00:00:00,Meijer,Hank,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,71
591,4600,Fashion & Retail,Mark Meijer & family,United States,"Washington, D.C.",Supermarkets,Fashion & Retail,United States,False,Split Family Fortune,M,1957-10-21 00:00:00,Meijer,Mark,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,66
591,4600,Food & Beverage,Issad Rebrab & family,Algeria,Algiers,Food,Food & Beverage,Algeria,True,D,M,1944-01-01 00:00:00,Rebrab,Issad,4/4/2023 5:01,151.81,169988236398.0,51.4,109.9,76.7,37.2,66.1,43053054.0,28.033886,1.659626,79
591,4600,Logistics,Fred Smith,United States,"Washington, D.C.",FedEx,Logistics,United States,True,D,M,1944-08-11 00:00:00,Smith,Fred,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,79
591,4600,Finance & Investments,Barry Sternlicht,United States,"Washington, D.C.",Private equity,Finance & Investments,United States,True,U,M,1960-11-27 00:00:00,Sternlicht,Barry,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,63
591,4600,Manufacturing,Maximilian Viessmann,Germany,Berlin,"Heating, cooling equipment",Manufacturing,Germany,False,D,M,1989-02-11 00:00:00,Viessmann,Maximilian,4/4/2023 5:01,112.85,4072190000000.0,70.2,70.2,80.9,11.5,48.8,83132799.0,51.165691,10.451526,34
591,4600,Food & Beverage,Russ Weiner,United States,"Washington, D.C.",Energy drinks,Food & Beverage,United States,True,U,M,1970-05-05 00:00:00,Weiner,Russ,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,53
591,4600,Healthcare,Xue Min,China,Beijing,Healthcare,Healthcare,China,True,N,M,1957-01-01 00:00:00,Xue,Min,4/4/2023 5:01,125.08,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,66
611,4500,Food & Beverage,Juan Domingo Beckmann Legorreta & family,Mexico,Mexico City,Tequila,Food & Beverage,Mexico,False,U,M,1967-07-01 00:00:00,Beckmann Legorreta,Juan Domingo,4/4/2023 5:01,141.54,1258286717125.0,40.2,105.8,75.0,13.1,55.1,126014024.0,23.634501,-102.552784,56
611,4500,Technology,Dietmar Hopp & family,Germany,Berlin,Software,Technology,Germany,True,D,M,1940-04-26 00:00:00,Hopp,Dietmar,4/4/2023 5:01,112.85,4072190000000.0,70.2,70.2,80.9,11.5,48.8,83132799.0,51.165691,10.451526,83
611,4500,Technology,Jiang Bin,China,Beijing,Acoustic components,Technology,China,True,D,M,1966-09-16 00:00:00,Jiang,Bin,4/4/2023 5:01,125.08,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,57
611,4500,Technology,Joseph Liemandt,United States,"Washington, D.C.",Software,Technology,United States,True,U,M,1968-08-05 00:00:00,Liemandt,Joseph,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,55
611,4500,Food & Beverage,Theo Mueller,Switzerland,Berlin,Dairy,Food & Beverage,Germany,False,D,M,1940-01-30 00:00:00,Mueller,Theo,4/4/2023 5:01,99.55,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512,83
